"date","world_us_sim","north_america_us_sim","europe_us_sim","pacific_us_sim","emerging_us_sim","world_eu_sim","north_america_eu_sim","europe_eu_sim","pacific_eu_sim","emerging_eu_sim"
2008-07-20,3825.4522916551,2278.25711926352,5182.78029525106,2123.21232460063,582.808667195241,4435.82203227477,2417.61747299729,9830.35782247021,2797.85787056636,2803.99267762134
2008-07-21,3833.4882639243,2279.4106257171,5188.46668242398,2141.07748037843,584.738944034849,4449.38359868547,2420.19853807381,9852.11040550499,2823.08828186757,2826.47297566397
2008-07-22,3865.65101275175,2318.96930187212,5103.85312640311,2209.21787448381,591.89394422968,4517.25466232014,2478.94631807179,9758.13442967519,2932.68708996568,2804.25660837247
2008-07-23,3953.66488573365,2354.26152432494,5276.87433373344,2263.8933534045,598.586790770726,4649.15958351114,2532.70142468016,10151.9042481819,3024.16445975403,2932.11566210074
2008-07-24,3848.42503005132,2253.22056829131,5115.50247938009,2350.74008870956,580.16963776396,4521.22357789818,2421.85866153837,9832.86200823343,3137.00571509789,2903.13830034032
2008-07-25,3814.10615289498,2266.14669027777,5081.95482641186,2203.17438839952,577.064754342935,4497.4314594923,2444.77252139327,9804.85839675436,2950.97194721316,2801.74733369722
2008-07-26,3786.89004863205,2246.07349668203,5063.72740900566,2202.94263007554,573.113764447933,4456.95447558082,2418.04077558231,9747.82982814269,2942.74200942209,2791.39481366106
2008-07-27,3752.47055519878,2206.0030026171,5042.95034440582,2202.80232430672,568.05024590193,4398.20217774737,2366.67272703829,9655.51257371578,2935.3792306512,2781.68780165766
2008-07-28,3726.91867653983,2185.35977994025,5016.67434250117,2202.78493121184,564.293333364977,4359.85721997072,2338.81689368781,9602.28104099813,2927.09082668371,2775.8796564127
2008-07-29,3777.97655663462,2281.19868973485,4968.72997966576,2118.37831917113,570.520082981196,4488.73325505907,2478.96444098742,9661.70527956506,2860.37296308865,2780.18369780809
2008-07-30,3928.6228431597,2382.00134224153,5139.58145199926,2195.87494998832,588.894030122227,4654.04680501879,2580.90784675263,9965.09594878398,2956.35816751676,2919.83183906814
2008-07-31,3876.31223081551,2316.72041036722,5151.14700815821,2201.31433102532,581.841149160011,4571.59052247871,2498.88573992492,9943.82799322006,2950.61925827893,2920.46769097525
2008-08-01,3801.75473322126,2294.60773899155,5007.12991967562,2126.37908219785,569.302354440459,4496.49737167775,2482.07296298291,9694.08861718639,2858.47033488073,2867.84413466838
2008-08-02,3768.20870545536,2275.87595616168,4981.36784610081,2099.27635806434,564.175116089688,4445.68980038261,2461.77143479616,9613.65990607503,2804.03468705805,2817.77252562373
2008-08-03,3742.86001872832,2261.09173578635,4960.36062098444,2078.4542039691,560.291288116182,4405.52225252895,2438.00829680036,9552.6834960676,2761.42170945929,2769.21431546182
2008-08-04,3728.56326920131,2251.05503777685,4944.90830680117,2052.0727031672,558.044842495182,4379.83073131208,2418.25704087414,9508.28319344516,2739.56055383167,2731.01640372134
2008-08-05,3870.8545777141,2364.81555965513,5148.95280407887,2025.81168704039,576.411133877766,4594.35562911854,2566.73080836546,10003.9425413542,2733.762853103,2725.83900061114
2008-08-06,3924.41186312877,2390.35449523909,5210.27897076131,2085.07959588528,584.082002498436,4695.651868346,2615.51919163514,10205.5688768152,2836.37561027512,2819.70390274036
2008-08-07,3828.62590621925,2310.7224416936,5154.62496859748,2037.01880843621,569.577155849543,4603.9820469342,2541.13112721994,10147.1374628703,2784.88552222605,2812.11018551554
2008-08-08,3961.81785008137,2462.47066827301,5135.74070044821,2057.76128998731,574.227568412566,4853.80732223971,2757.2627275168,10309.2691299239,2867.73032021598,2838.33769096449
2008-08-09,3995.65836314085,2477.36768496284,5173.24978790628,2074.99391738298,578.305979643696,4899.64863508188,2773.89676859213,10429.5302154443,2912.60008345465,2845.16029938287
2008-08-10,4026.18231359416,2490.23706328364,5232.78546846517,2112.46195854501,582.020302883813,4940.45127570956,2789.72488355133,10534.024974368,2946.83207175533,2850.72453254444
2008-08-11,4047.56282544995,2500.2293503521,5269.8852021498,2129.89219783925,584.279964725755,4958.63962528228,2799.38465782096,10577.7641733993,2968.07313995123,2852.72960755812
2008-08-12,4000.75081557374,2465.20469015463,5204.16164533489,2128.52624227421,573.446792490589,4925.90598664768,2774.09424988465,10498.7791336941,2980.89391206828,2840.59033321791
2008-08-13,3912.97931221182,2462.59857066084,4921.36104604962,2072.91994995214,560.72557192398,4843.38437783773,2785.71848221589,9982.27412564495,2918.47440891855,2806.93649297065
2008-08-14,3944.6769907016,2488.42042190865,4994.33356453254,2040.55412065297,565.392970038505,4864.31714191396,2804.42267362434,10092.8811611667,2862.0300863764,2854.38404456551
2008-08-15,3967.24650785489,2525.21350823548,4953.99052845923,2045.42137197159,561.851435626453,4970.76156228131,2891.29520820942,10174.6080462016,2915.12447231547,2864.34746013389
2008-08-16,3953.24460478513,2515.36302373203,4957.0043785405,2057.67196379147,559.542546832313,4956.00487225412,2875.34776522174,10169.0963956983,2939.45323211393,2853.08189527473
2008-08-17,3942.39008644036,2490.85910189976,4959.71092738441,2078.0306036263,557.72312967463,4932.39455117255,2844.81050427625,10162.81967405,2957.63011095524,2824.95425399916
2008-08-18,3928.43057274626,2461.92790200507,4962.82623191779,2091.21825486512,555.41678137378,4904.09990068849,2808.50363142174,10156.4279457813,2969.51771468578,2791.16811375396
2008-08-19,3812.6563809178,2423.44213821039,4722.19038493044,2010.11253607345,538.048748468587,4750.49093141185,2759.34820026777,9645.89889228749,2848.92148233025,2691.25319159849
2008-08-20,3846.94395930225,2451.53251946817,4764.15346211507,2008.98932213135,545.005997234753,4794.95989665909,2792.38677106514,9735.5422513125,2848.34381886519,2787.74570709448
2008-08-21,3855.64278991828,2462.79240467464,4758.48356272137,2010.94162790512,549.181716462322,4731.56409992586,2761.9784006512,9573.79988330259,2807.06288276244,2705.42235616705
2008-08-22,3914.72472493879,2509.38090270109,4899.89476338766,1950.91115601199,557.384411174708,4844.91521400948,2838.14491415281,9941.93587285976,2747.01120236572,2724.34017720392
2008-08-23,3895.77267333015,2489.3469743546,4886.31070409018,1971.17927475641,554.289198081314,4824.38707607005,2814.72055109263,9907.49961683588,2775.85143030154,2720.72558153162
