date,days,europe_us_price,europe_us_ndtr_l1,europe_us_gdtr_l1,europe_us_ndtr_l2,europe_us_gdtr_l2
1997-02-03,365,906.496,1528.04793784653,1705.7996282377,2636.94501,3286.05804
1997-02-04,365,908.78,1531.98731170537,1710.21782510346,2650.08799,3302.51558
1997-02-05,365,916.767,1545.59363713099,1725.43800638501,2696.70657,3360.73057
1997-02-06,365,916.658,1545.48117825761,1725.33212523078,2695.84757,3359.73667
1997-02-07,365,917.578,1547.1060175791,1727.16543368228,2701.06005,3366.30826
1997-02-08,365,920.134,1551.51000002573,1732.103319912,2715.9807,3384.987
1997-02-09,365,924.59,1559.14824466367,1740.65701278481,2742.26334,3417.84669
1997-02-10,365,926.99,1563.28764637989,1745.29945001354,2756.35283,3435.49029
1997-02-11,365,922.584,1555.98190492979,1737.17044988721,2730.12464,3402.90737
1997-02-12,365,919.787,1551.36694146606,1732.04244213083,2713.50161,3382.28334
1997-02-13,365,920.832,1553.20443453388,1734.11341430699,2719.46228,3389.7892
1997-02-14,365,923.217,1557.31912328401,1738.72841061928,2733.40558,3407.25172
1997-02-15,365,921.956,1555.27256318735,1736.46477809151,2725.75366,3397.79703
1997-02-16,365,920.18,1552.36366291675,1733.23926176642,2715.0911,3384.59272
1997-02-17,365,918.848,1550.19772785467,1730.84235443333,2707.05011,3374.6525
1997-02-18,365,917.865,1548.61651620682,1729.09766852818,2701.03485,3367.23483
1997-02-19,365,918.633,1549.98517865392,1730.64523763368,2705.34408,3372.68248
1997-02-20,365,918.013,1549.01311387555,1729.58013304658,2701.48793,3367.95407
1997-02-21,365,919.259,1551.19217342857,1732.03274598023,2708.63149,3376.93608
1997-02-22,365,920.638,1553.59721226805,1734.73781669562,2716.57241,3386.91289
1997-02-23,365,922.224,1556.35412739506,1737.83601365051,2725.75413,3398.43778
1997-02-24,365,924.274,1559.90053051251,1741.8164252656,2737.70469,3413.41764
1997-02-25,365,930.854,1571.146996872,1754.40450004021,2776.70276,3462.1589
1997-02-26,365,923.893,1559.54057204767,1741.47410928602,2735.19958,3410.52786
1997-02-27,365,924.35,1560.38404576587,1742.43554743852,2737.67977,3413.69705
1997-02-28,365,918.188,1550.12033195955,1731.00349554332,2701.16994,3368.28596
1997-03-01,365,916.396,1547.18213480139,1727.74467739739,2690.44192,3354.99498
1997-03-02,365,915.009,1544.92206046788,1725.24228728951,2682.09559,3344.67032
1997-03-03,365,914.125,1543.50553223028,1723.68098422141,2676.69992,3338.02147
1997-03-04,365,921.963,1556.88302347096,1738.65103722815,2722.63887,3395.43042
1997-03-05,365,923.63,1559.77965169917,1741.90582431426,2732.30417,3407.5621
1997-03-06,365,931.785,1573.6961718948,1757.47878747611,2780.58724,3467.90102
1997-03-07,365,932.759,1575.4165176222,1759.41979342203,2786.18633,3474.96204
1997-03-08,365,935.834,1580.71428433566,1765.35926634981,2804.44368,3497.82344
1997-03-09,365,940.277,1588.34479260088,1773.90776678543,2831.03477,3531.09464
1997-03-10,365,943.414,1593.74954160785,1779.96717218318,2849.81004,3554.60516
1997-03-11,365,945.172,1596.80363960148,1783.39861692109,2860.23993,3567.69637
1997-03-12,365,935.953,1581.38040854482,1766.20425616447,2804.50848,3498.30486
1997-03-13,365,931.164,1573.41846667344,1757.33988134099,2775.7837,3462.58539
1997-03-14,365,936.043,1581.79332336558,1766.72126490741,2804.85818,3498.96229
1997-03-15,365,932.305,1575.59387517322,1759.82356111927,2782.3924,3471.04207
1997-03-16,365,928.058,1568.53995185113,1751.97214368858,2757.00284,3439.4762
1997-03-17,365,924.229,1562.18641956167,1744.90211715718,2734.17793,3411.10531
1997-03-18,365,920.716,1556.36188789369,1738.42221212544,2713.30144,3385.16137
1997-03-19,365,922.275,1559.0775155596,1741.4753719463,2722.29023,3396.4533
1997-03-20,365,904.365,1528.9695634048,1707.8778860312,2616.66937,3264.80391
1997-03-21,365,913.234,1544.10671755195,1724.81779035667,2668.02362,3328.99884
1997-03-22,365,911.944,1542.00593851047,1722.49238200592,2660.29785,3319.44106
1997-03-23,365,910.212,1539.16329601003,1719.33906689135,2650.02487,3306.70768
1997-03-24,365,908.908,1537.03856798937,1716.98681181723,2642.23179,3297.06502
1997-03-25,365,920.866,1557.40661989029,1739.77306956293,2711.77632,3383.97414
1997-03-26,365,931.457,1575.46530823896,1759.97950979207,2774.16622,3461.95826
1997-03-27,365,942.004,1593.45280104944,1780.1070843952,2836.99804,3540.49932
1997-03-28,365,942.688,1594.6842836151,1781.50278990528,2840.86897,3545.40958
1997-03-29,365,943.826,1596.6869506532,1783.76012938824,2847.48944,3553.7518
1997-03-30,365,945.159,1599.02150164764,1786.38838714461,2855.30013,3563.58019
1997-03-31,365,946.315,1601.05514634451,1788.68044640915,2861.92418,3571.92768
1997-04-01,365,922.287,1560.58451593146,1743.50165135033,2716.66933,3390.77501
1997-04-02,365,918.262,1553.89408953991,1736.05380580325,2692.88506,3361.19309
1997-04-03,365,911.097,1541.91167860952,1722.69635228249,2650.8662,3308.86091
1997-04-04,365,912.906,1545.05613614987,1726.22945805338,2661.21222,3321.85175
1997-04-05,365,913.643,1546.37605623201,1727.72351602137,2665.29138,3327.01809
1997-04-06,365,914.238,1547.45506309406,1728.94845179281,2668.54245,3331.15099
1997-04-07,365,914.444,1547.87482162916,1729.43695277266,2669.51313,3332.43788
