date,days,world_us_price,world_us_ndtr_l1,world_us_gdtr_l1,world_us_ndtr_l2,world_us_gdtr_l2
1991-02-23,365,660.304,871.450027760193,942.341218302177,1377.90123,1611.15835
1991-02-24,365,661.403,872.937689634987,943.960674005593,1382.3483,1616.39511
1991-02-25,365,662.366,874.242538841445,945.381851224581,1386.21666,1620.95324
1991-02-26,365,654.098,863.386337987006,933.659399225249,1351.53581,1580.45845
1991-02-27,365,657.278,867.633633110102,938.267764112832,1364.58108,1595.76538
1991-02-28,365,662.239,874.234908031927,945.423280069377,1385.06375,1619.77542
1991-03-01,365,654.861,864.551554911988,934.968387863725,1354.11907,1583.64499
1991-03-02,365,653.945,863.37728480997,933.70907894106,1350.18472,1579.07973
1991-03-03,365,653.184,862.405423372016,932.667923712762,1346.88989,1575.25972
1991-03-04,365,652.571,861.627474835387,931.835707459843,1344.20504,1572.15041
1991-03-05,365,661.985,874.112776637268,945.357356191597,1382.90856,1617.48126
1991-03-06,365,663.638,876.339973515132,947.778882971656,1389.68679,1625.45307
1991-03-07,365,664.402,877.377994263823,948.910772854019,1392.71215,1629.02342
1991-03-08,365,664.147,877.067773986186,948.582856817143,1391.46983,1627.59638
1991-03-09,365,662.44,874.857847340947,946.206223749164,1384.20051,1619.13975
1991-03-10,365,659.145,870.559423871959,941.573097939501,1370.34267,1602.98412
1991-03-11,365,657.532,868.472829945296,939.329467582843,1363.52411,1595.05281
1991-03-12,365,659.44,871.038338859263,942.117696971681,1371.33421,1604.23462
1991-03-13,365,657.278,868.229720426937,939.09431360439,1362.24538,1593.65133
1991-03-14,365,662.621,875.340126035217,946.802155994972,1384.31599,1619.52906
1991-03-15,365,663.129,876.038316274374,947.565490353917,1386.27749,1621.85171
1991-03-16,365,662.282,874.952982584551,946.401926432974,1382.59539,1617.57947
1991-03-17,365,660.487,872.627132986654,943.899835256778,1374.9983,1608.73796
1991-03-18,365,658.423,869.947325309963,941.015412178369,1366.30537,1598.61591
1991-03-19,365,647.61,855.719815511245,925.643183646358,1321.36395,1546.09285
1991-03-20,365,641.504,847.706148865945,916.991061057858,1296.35398,1516.88402
1991-03-21,365,647.101,855.154539750223,925.065132442267,1318.89452,1543.31498
1991-03-22,365,645.193,852.678438167426,922.400333757288,1311.01839,1534.14449
1991-03-23,365,644.095,851.264383811651,920.88194914655,1306.43311,1528.81641
1991-03-24,365,643.265,850.201759949149,919.742556206254,1302.93538,1524.75691
1991-03-25,365,642.776,849.583673988752,919.082320344346,1300.80436,1522.29094
1991-03-26,365,642.522,849.272483041391,918.753058243921,1299.61203,1520.92005
1991-03-27,365,641.25,847.630532733338,916.988676365027,1294.34973,1514.80109
1991-03-28,365,638.197,843.64566441718,912.693013672599,1281.94261,1500.33126
1991-03-29,365,641.504,848.066603704479,917.491032267054,1295.16466,1515.85591
1991-03-30,365,640.515,846.794065306083,916.125135052966,1291.06214,1511.0901
1991-03-31,365,639.106,844.972867859078,914.167177603031,1285.29383,1504.37944
1991-04-01,365,638.07,843.639148436256,912.735231875649,1280.98891,1499.37689
1991-04-02,365,649.9,859.337472743162,929.738789721027,1328.4159,1554.95352
1991-04-03,365,660.204,873.018553150462,944.56002126448,1370.4626,1604.23516
1991-04-04,365,661.603,874.909773365918,946.618218903668,1376.14615,1610.92898
1991-04-05,365,663.638,877.647590571895,949.594199230533,1384.51494,1620.77242
1991-04-06,365,663.001,876.83621639861,948.725655879851,1381.70968,1617.52038
1991-04-07,365,661.117,874.390849486895,946.093727734385,1373.75808,1608.2592
1991-04-08,365,658.804,871.380908387327,942.851717057774,1364.05796,1596.95341
1991-04-09,365,653.971,865.041579742873,936.00879527894,1343.97883,1573.50145
1991-04-10,365,653.207,864.065124442261,934.962139469965,1340.71278,1569.71093
1991-04-11,365,656.133,867.984304366659,939.217993579277,1352.6452,1583.73216
1991-04-12,365,661.094,874.599774131883,946.393226874109,1373.04504,1607.67395
1991-04-13,365,662.963,877.117306973916,949.130812699162,1380.72742,1616.71463
1991-04-14,365,664.474,879.158365918844,951.351867409749,1386.92988,1624.01948
1991-04-15,365,666.31,881.632795258749,954.042847861666,1394.48671,1632.91373
1991-04-16,365,668.599,884.710135435336,957.387284003539,1403.96958,1644.06709
1991-04-17,365,673.179,890.822836725568,964.019006749678,1423.12046,1666.55099
1991-04-18,365,667.582,883.472195165738,956.081269999326,1399.37937,1638.80724
1991-04-19,365,655.879,868.044553163725,939.403667258741,1350.25921,1581.34446
1991-04-20,365,650.121,860.47887462282,931.232546354233,1326.48394,1553.55586
1991-04-21,365,645.403,854.28780857086,924.548568091663,1307.16215,1530.98038
1991-04-22,365,643.794,852.201637510215,922.303824324415,1300.54527,1523.27359
1991-04-23,365,647.61,857.303458361681,927.84114755075,1315.88659,1541.29454
1991-04-24,365,648.119,858.002696155293,928.605960917793,1317.80108,1543.56364
1991-04-25,365,642.776,850.983821818868,921.025761911437,1296.006,1518.08869
1991-04-26,365,643.54,852.024053003565,922.160709518406,1298.94585,1521.56231
1991-04-27,365,642.356,850.496017034581,920.518511988233,1294.05764,1515.87473
1991-04-28,365,640.078,847.527218876509,917.319699980715,1284.79518,1505.072
1991-04-29,365,638.833,845.917656261247,915.58941006937,1279.68719,1499.12703
1991-04-30,365,645.193,854.39264090112,924.779725424639,1305.09989,1528.9542
1991-05-01,365,656.006,868.767961594539,940.35874920119,1348.78648,1580.19824
1991-05-02,365,653.843,865.9518180692,937.324962923012,1339.80543,1569.72479
1991-05-03,365,651.299,862.632069947422,933.746594230722,1329.30121,1557.46823
1991-05-04,365,650.691,861.856831597548,932.916554944777,1326.68226,1554.43013
1991-05-05,365,650.213,861.252373455662,932.27069371213,1324.59205,1552.00921
1991-05-06,365,650.027,861.030849325437,932.038173697536,1323.6796,1550.96429
1991-05-07,365,651.426,862.924933497111,934.100376291234,1329.27338,1557.55823
1991-05-08,365,649.773,860.778090773381,931.789675410069,1322.42991,1549.58359
1991-05-09,365,650.918,862.331758189449,933.482458340787,1326.97526,1554.94606
1991-05-10,365,649.646,860.686386510882,931.713373548505,1321.68462,1548.78663
1991-05-11,365,648.473,859.171142238962,930.084752980305,1316.80509,1543.10747
1991-05-12,365,647.402,857.78998493732,928.600850861726,1312.3464,1537.91987
1991-05-13,365,646.211,856.250589249381,926.946098380794,1307.40789,1532.1713
1991-05-14,365,642.649,851.583320895626,921.909219978608,1292.92584,1515.2516
1991-05-15,365,643.031,852.11306630049,922.490237507928,1294.30215,1516.88932
1991-05-16,365,645.702,855.700738487449,926.388836380409,1304.97273,1529.44304
1991-05-17,365,643.667,853.049916354218,923.533062852111,1296.66095,1519.74787
1991-05-18,365,642.043,850.941275731037,921.263242419481,1290.02543,1512.01366
1991-05-19,365,640.645,849.129535105904,919.314150709097,1284.30826,1505.35327
1991-05-20,365,639.851,848.109332393546,918.219593317642,1280.99811,1501.50602
1991-05-21,365,644.557,854.399118439678,925.045722538247,1299.77711,1523.57122
1991-05-22,365,644.557,854.422212690651,925.077637538821,1299.62454,1523.41516
1991-05-23,365,644.812,854.782648308003,925.47507526531,1300.49894,1524.46381
1991-05-24,365,646.593,857.187429692518,928.091731405815,1307.59558,1532.82542
1991-05-25,365,646.617,857.242786698596,928.1586025135,1307.54245,1532.78604
1991-05-26,365,646.571,857.204757588691,928.124402528506,1307.20442,1532.41281
1991-05-27,365,646.593,857.256991152586,928.187891859249,1307.14176,1532.36226
1991-05-28,365,649.137,860.677573598629,931.90600188964,1317.33904,1544.3644
1991-05-29,365,653.716,866.801144467658,938.552855387158,1335.85556,1566.12672
1991-05-30,365,655.624,869.376456184786,941.354778064449,1343.5596,1575.20357
1991-05-31,365,658.677,873.474325833837,945.807265469407,1355.98746,1589.82548
1991-06-01,365,657.73,872.254232432344,944.496988930621,1351.95902,1585.13884
1991-06-02,365,656.214,870.286896333531,942.379639276572,1345.62087,1577.75093
1991-06-03,365,654.607,868.198361067418,940.131281079423,1338.92247,1569.94113
