date,na_model,eu_model,pc_model,em_model
1984-01-14,2.30692026883661,1.83758365039103,3.33415093143296,
1984-01-15,2.30546291921866,1.83962520237572,3.33878850645035,
1984-01-16,2.30487683291977,1.84236350530516,3.34469296872645,
1984-01-17,2.30566342412097,1.84620299119672,3.35259960016268,
1984-01-18,2.30398049464691,1.8480728559948,3.35693367224711,
1984-01-19,2.30599712007433,1.85291112274042,3.36666186365397,
1984-01-20,2.29569109455296,1.84785916099334,3.35842510134609,
1984-01-21,2.28784268145639,1.84476209228418,3.35373641246562,
1984-01-22,2.28124930778017,1.84266055815433,3.35085469242621,
1984-01-23,2.27714719660686,1.84255836672348,3.35160687414577,
1984-01-24,2.27548508144562,1.84442454018586,3.35593966288395,
1984-01-25,2.27505164051245,1.84728753851947,3.36208834163487,
1984-01-26,2.27093816905522,1.84716681708729,3.36280978719617,
1984-01-27,2.26805503916021,1.84804080603114,3.36534226638272,
1984-01-28,2.26517478625202,1.84891457020585,3.36787549037829,
1984-01-29,2.2622976525077,1.8497883079322,3.37040982053665,
1984-01-30,2.25942351253243,1.85066191837222,3.37294507353319,
1984-01-31,2.2589964268806,1.8535372982093,3.37912982934769,
1984-02-01,2.25586962712852,1.85542023540787,3.37817515460021,
1984-02-02,2.26250725006117,1.86533262255515,3.39183653634225,
1984-02-03,2.24475126599216,1.85517046251901,3.36895422297274,
1984-02-04,2.23015589978119,1.84756058811098,3.35076064514913,
1984-02-05,2.21719961503289,1.84126119884696,3.33498541972119,
1984-02-06,2.20502931525708,1.83557349657909,3.32035347931894,
1984-02-07,2.19345010376885,1.83033980407465,3.30657520840991,
1984-02-08,2.17703344375476,1.82103365170428,3.28547010775604,
1984-02-09,2.17034577920986,1.81981009838992,3.27899680239571,
1984-02-10,2.16609110723173,1.82061017774217,3.27618102133699,
1984-02-11,2.1615396176218,1.82115412176586,3.27290611075966,
1984-02-12,2.15661016944922,1.82137173049711,3.26904770488676,
1984-02-13,2.15215298872079,1.82197872590497,3.26589268282958,
1984-02-14,2.15758382541119,1.83094916432004,3.27773179553109,
1984-02-15,2.16662409577577,1.84301514339274,3.29507634191448,
1984-02-16,2.16841348747048,1.84896053550239,3.30142767666529,
1984-02-17,2.16537950647192,1.85081105839746,3.30044537845546,
1984-02-18,2.16298788267055,1.85320884585783,3.30043597535773,
1984-02-19,2.16115329119443,1.85608473174509,3.30127250000404,
1984-02-20,2.15870273948078,1.8584347329048,3.30116594886662,
1984-02-21,2.14727683818959,1.85305840740178,3.28732972416217,
1984-02-22,2.14426576588646,1.85490727978874,3.2863414168388,
1984-02-23,2.14125848591734,1.85675762488332,3.28535274758957,
1984-02-24,2.17058895501889,1.88664731401211,3.33397401283334,
1984-02-25,2.1766133360554,1.89641161010863,3.34690013898355,
1984-02-26,2.18118082709364,1.90494253278292,3.35761046311147,
1984-02-27,2.18182449037519,1.91007657085551,3.36230014514566,
1984-02-28,2.16685485021488,1.9015556249803,3.34293520690257,
1984-02-29,2.16264188800296,1.90242224115692,3.34011831011386,
1984-03-01,2.16502081442459,1.90511519024313,3.35875825286051,
1984-03-02,2.18762594440733,1.9256077443015,3.40887657642749,
1984-03-03,2.19031342179832,1.92858091724893,3.42833820889196,
1984-03-04,2.19197975115514,1.93065664832519,3.44630745348029,
1984-03-05,2.19106651798048,1.93046146430068,3.46031321000569,
1984-03-06,2.17798314628309,1.91954334032949,3.45515519698435,
1984-03-07,2.15900761284841,1.90342511543425,3.44053360400684,
1984-03-08,2.15189491902506,1.89775500275038,3.44461471921727,
1984-03-09,2.14479542619905,1.89209275782468,3.44868429785694,
1984-03-10,2.14424248153685,1.89220196932982,3.46324742415151,
1984-03-11,2.14783406638132,1.89596843076769,3.48456580439272,
1984-03-12,2.15300417276298,1.90113049529703,3.50856658663393,
1984-03-13,2.17061724667353,1.91728292621396,3.55298963827735,
1984-03-14,2.18583998267145,1.93133396128204,3.59382665293306,
1984-03-15,2.17756081753598,1.92462816136021,3.59631709784994,
1984-03-16,2.19273712022046,1.93864894729652,3.63749499636357,
1984-03-17,2.18603808837036,1.93333787755138,3.64268029563795,
1984-03-18,2.17450057136216,1.9237440883998,3.63977632696051,
1984-03-19,2.16796231786909,1.91856679983919,3.64514073891015,
1984-03-20,2.17607076998433,1.92634784208456,3.67510649334283,
1984-03-21,2.17017209119235,1.92173390357578,3.68161110978788,
1984-03-22,2.14798444539702,1.90269262772674,3.66046652498217,
1984-03-23,2.14793931763073,1.90325300542168,3.67679075885495,
1984-03-24,2.1472726179646,1.90326278288216,3.69212379893724,
1984-03-25,2.14607296557978,1.9027999874546,3.70660404087594,
1984-03-26,2.14547110164441,1.90286673508689,3.72217238993556,
1984-03-27,2.15236575535302,1.90958216602109,3.75081152530246,
1984-03-28,2.17080791175525,1.92654660105933,3.799755613963,
1984-03-29,2.18112020240756,1.93630642187083,3.83483135994051,
1984-03-30,2.18563700536358,1.94092720693973,3.85995517298148,
1984-03-31,2.18323615908253,1.93940758197005,3.87301011594925,
1984-04-01,2.18244464457566,1.93736572159172,3.86844269462236,
1984-04-02,2.18100886912628,1.93475384292998,3.86273818088965,
1984-04-03,2.16319379679116,1.9176147169465,3.82803138375569,
1984-04-04,2.16380797272693,1.91683546719744,3.82599168538138,
1984-04-05,2.14828310534261,1.90175941288173,3.79541610866935,
1984-04-06,2.14082124593784,1.89384107437445,3.77913316975189,
1984-04-07,2.14273051837415,1.89422278967358,3.77941693741053,
1984-04-08,2.14646299329068,1.89621482931946,3.78291354609718,
1984-04-09,2.14841580776808,1.89663104376594,3.7832654682896,
