"date","sim_price","sim_gdtr_l1","sim_ndtr_l1","sim_gdtr_l2","sim_ndtr_l2","letf_acwi_usd_sim","letf_acwi_eur_sim"
2012-10-17,340.853485969967,609.324671850083,540.27990147208,744.61047,595.37991,442.960396049337,440.113688512775
2012-10-18,340.936304445861,609.490768398956,540.42039170243,745.01323,595.67821,443.167893040439,440.383398568244
2012-10-19,336.785151269136,602.079561510081,533.846912208017,726.89184,581.17544,432.363794791765,432.386339278086
2012-10-20,336.695146133746,601.918890381455,533.704352684427,726.48252,580.85381,432.110427368603,431.851317704544
2012-10-21,336.610830753042,601.781939935628,533.58049070333,726.18428,580.57309,431.887509890297,431.256959643172
2012-10-22,336.52094952171,601.621786499774,533.438337648056,725.77718,580.25264,431.635051395589,430.729165257976
2012-10-23,331.43210965896,592.542335361792,525.379955495415,703.86777,562.71038,418.571746302525,419.559342747466
2012-10-24,331.062518943475,591.936997203838,524.842863044566,702.42663,561.54884,417.694093339982,420.716009075303
2012-10-25,332.146128276044,593.887560029065,526.569133978608,707.05295,565.23194,420.420061785056,421.801129603676
2012-10-26,331.226693254885,592.244941572158,525.112425440778,703.13866,562.0937,418.072133410411,422.203097876995
2012-10-27,330.884788410748,591.604203582475,524.549171211106,701.49705,560.8769,417.153480146613,421.39500002609
2012-10-28,330.627520393019,591.142111014452,524.139857617844,700.37535,559.99059,416.480689079796,420.823949690955
2012-10-29,330.479919095824,590.916138119603,523.933297810466,699.97445,559.53823,416.130682230875,420.56793404041
2012-10-30,331.765286699808,593.227884837793,525.980161390092,705.44825,563.89913,419.360337295043,421.743780871238
2012-10-31,331.709372578404,593.170483063267,525.917232704588,705.30869,563.75298,419.237980607545,420.615165323475
2012-11-01,334.48858826528,598.169179512868,530.343561800551,717.19303,573.23149,426.273062392793,428.262370024311
2012-11-02,333.049468370891,595.610162019201,528.072881985989,711.05351,568.31172,422.600672650118,428.704482242969
2012-11-03,332.753185326161,595.065777008187,527.589702014383,709.63264,567.2607,421.805353128212,429.019366702237
2012-11-04,332.520736481534,594.661883461559,527.227464842338,708.66129,566.47065,421.204137875029,429.357751274902
2012-11-05,332.351246683576,594.396255300397,526.9844337416,708.14587,565.93731,420.793840325148,429.312511658884
2012-11-06,334.373872526174,598.027155677878,530.202406440232,716.79431,572.83795,425.910988708805,433.750420305233
2012-11-07,329.454824408689,589.530419523727,522.604626791879,696.42289,556.40943,413.68233139196,423.081628820247
2012-11-08,326.185567284814,583.737416700645,517.467606322873,682.73313,545.46002,405.528121217168,415.06989717166
2012-11-09,325.847846021845,583.24702704572,517.029433479243,681.58313,544.5257,404.820273883693,415.712157205893
2012-11-10,325.680364958423,582.950492626088,516.766374576072,680.87316,543.96104,404.387291031023,414.924881723227
2012-11-11,325.563162797616,582.757765961038,516.592516992223,680.4597,543.58447,404.094164393082,413.976200715497
2012-11-12,325.396021892097,582.456344521641,516.325799874217,679.72639,543.01269,403.655939670461,413.185235966307
2012-11-13,324.548698803624,581.050694754054,515.054293081392,676.44269,540.32769,401.646851993259,412.390524386336
2012-11-14,321.201067849909,575.258178562177,509.885789793802,662.95286,529.473,393.565042843623,403.138288185954
2012-11-15,320.211622417873,573.511762704543,508.330198600419,658.92474,526.23202,391.143147725502,399.714206494245
2012-11-16,319.898669876306,572.989824852111,507.858695354954,657.72257,525.24562,390.397217951991,399.297987498196
2012-11-17,321.551933363526,575.975007035445,510.499963417852,664.57933,530.69883,394.437679682483,403.32773414745
2012-11-18,324.691853442776,581.61101434858,515.493278861652,677.50196,541.07035,402.133373725399,410.987196000922
2012-11-19,326.37873732345,584.656166062588,518.187905128817,684.49718,546.71645,406.31655201062,415.029426335147
2012-11-20,326.537715977266,584.971192468026,518.46175391817,685.23189,547.28377,406.724938231061,413.91962154653
2012-11-21,327.270265606531,586.350388134979,519.682378268282,688.46012,549.85011,408.618909322146,415.974933904341
2012-11-22,328.851523082999,589.189974403199,522.198232380153,695.12534,555.16321,412.554000518079,417.114450408441
2012-11-23,332.477754770547,595.728589417656,527.983348101682,710.55085,567.45314,421.673471937887,425.807040575501
2012-11-24,332.328174831487,595.488183248332,527.765628891472,710.06265,566.97415,421.30379198695,424.851590269165
2012-11-25,332.162453866302,595.204580794137,527.512066566207,709.39847,566.41833,420.877045314122,423.768370159722
2012-11-26,331.947586508458,594.800863263051,527.157145823834,708.32857,565.64518,420.288839004115,422.611815132512
2012-11-27,331.275225855747,593.622936191881,526.106314374419,705.52001,563.37917,418.591437444404,421.003250505429
